Number,Title,Artist,Genre,YandexMusicID,mood,cluster
1,Rolling In The Deep,Adele,pop,2278985,happy,1
2,Smells Like Teen Spirit,Nirvana,rock,53404,sad,6
3,Hit the Road Jack,Ray Charles,rnb,15536929,happy,6
4,Supermassive Black Hole,"Muse, Matthew Bellamy, Dominic Howard, Chris Wolstenholme",alternative,198009,sad,6
5,Freaks,Surf Curse,rock,83100701,sad,7
6,Пока-пора,Bahroma,ukrrock,42600600,happy,1
7,Home,Edith Whiskers,foreignbard,72319950,relaxed,4
8,Красота,Марія Чайковська,rusbards,25321250,relaxed,2
9,Je te laisserai des mots,Patrick Watson,foreignbard,85900070,sad,4
10,Summertime Sadness,Lana Del Rey,pop,3616433,sad,3
11,кто?,Земфира,rusrock,732419,happy,0
12,Counting Stars,OneRepublic,alternative,66699124,happy,1
13,Save Your Tears,The Weeknd,rnb,63883257,sad,3
14,Until I Found You,Stephen Sanchez,foreignbard,90044280,sad,5
15,Какая? (Speed Up),"whyspurky, whylovly",rusrap,123803042,sad,3
16,Танцы,ssshhhiiittt!,punk,73054242,happy,6
17,Нервы,Нервы,ukrrock,35487139,sad,6
18,I Wanna Be Yours,Arctic Monkeys,indie,44093415,sad,6
19,Вселенная бесконечна?,Noize MC,rusrap,40053530,sad,6
20,Люди,Дайте танк (!),local-indie,62554717,happy,3
21,In This Shirt,The Irrepressibles,films,234295,relaxed,4
22,Я тебя люблю,Где Фантом?,postpunk,70408028,sad,1
23,Встречная,Перемотка,local-indie,64440300,happy,0
24,немерено,"лампабикт, Элли на маковом поле",local-indie,107522081,relaxed,2
25,Прощание,Три дня дождя,ruspop,118465150,sad,6
26,Можно я с тобой,DVN,alternative,113755321,happy,0
27,Последняя Любовь,MORGENSHTERN,rusrock,123450076,happy,6
