id,title,artists
75795990,drivers license,Olivia Rodrigo
44838768,Someone You Loved,Lewis Capaldi
34454725,Bored,Billie Eilish
50806996,Arcade,Duncan Laurence
58185634,Memories,Maroon 5
41004770,Lucid Dreams,Juice WRLD
41897259,Be Alright,Dean Lewis
44090735,Die From A Broken Heart,Maddie & Tae
86416030,Wrecked,Imagine Dragons
59841792,everything i wanted,Billie Eilish
37953398,You Are The Reason,Calum Scott
60945156,Breaking Me,"Topic, A7S"
43233342,Drip Too Hard,"Lil Baby, Gunna"
37384,Zombie,The Cranberries
59203504,Lose You To Love Me,Selena Gomez
27144394,Dancing on My Own,Calum Scott
818299,The One That Got Away,Katy Perry
35203045,Bruises,Lewis Capaldi
33285126,Hold On,Chord Overstreet
16523469,Habits (Stay High),Tove Lo
38856284,The Middle,"Zedd, Maren Morris, Grey"
3599067,Little Talks,Of Monsters and Men
365619,Last Resort,Papa Roach
24578083,I Took A Pill In Ibiza,"Mike Posner, Seeb"
91358,The Reason,Hoobastank
36817859,Bitter Sweet Symphony,The Verve
19100144,Let It Go,James Bay
52103767,you were good to me,"Jeremy Zucker, Chelsea Cutler"
63827,This Love,Maroon 5
91596,Have You Ever Seen The Rain,Creedence Clearwater Revival
31581366,Waves,Dean Lewis
40224910,all the kids are depressed,Jeremy Zucker
54479395,Hate Me,"Ellie Goulding, Juice WRLD"
27243595,When You Love Someone,James Tw
3270,So Sick,Ne-Yo
28106,I Miss You,blink-182
23323859,Make You Mine,PUBLIC
52100,Dont Speak,No Doubt
55164784,Love Me,Lil Tecca
40872,More Than Words,Extreme
42589880,Taking A Walk,Trippie Redd
39955245,In My Blood,Shawn Mendes
71658,Apologize,OneRepublic
32514452,hate u love u,Olivia OBrien
38831814,Heaven,Julia Michaels
16083087,Unsteady,X Ambassadors
34166725,Liability,Lorde
82199638,Astronomy,Conan Gray
45744217,Out Of Love,Alessia Cara
5336232,Clarity,"Zedd, Foxes"
33931,Here Without You,3 Doors Down
649404,Say It Aint So,Weezer
29009903,All Time Low,Jon Bellion
43763305,Malibu Nights,LANY
25380455,Die A Happy Man,Thomas Rhett
25458773,Stone Cold,Demi Lovato
58240667,Trampoline,"SHAED, ZAYN"
39068007,Plug Walk,Rich The Kid
63817,She Will Be Loved,Maroon 5
147964,Everybody Hurts,R.E.M.
252845,Fade Into You,Mazzy Star
54254234,feel something,Bea Miller
3591615,Born To Die,Lana Del Rey
89948479,justified,Kacey Musgraves
20853457,Hold Back The River,James Bay
33273,Sweet Dreams (Are Made of This),Marilyn Manson
10905,Im Not In Love,10cc
55983065,Need You Now,Lady A
56989447,Pretty Heart,Parker McCollum
37633245,Lost Without You,Freya Ridings
1121,End Of The Road,Boyz II Men
28256167,Close,"Nick Jonas, Tove Lo"
